numero,descripcion,voltaje,campos,equipo,img
50210,DELCO REMY 50 MT . Código 1977820,12 Volts,6 Campos,DELCO REMY,default-card
50220,DELCO REMY 50 MT CÓDIGO 1967345,32 Volts,6 Campos,DELCO REMY,campo-130
50230,DELCO REMY FERROCARRIL (TIPO BUDA ) . 6 Campos,24/32 Volts,6 Campos,DELCO REMY,campo-131
50231,DELCO REMY MOD.48,24 Volts,6 Campos,DELCO REMY,default-card
50240,DELCO REMY SUPER TORKE,12 Volts,4 Campos,DELCO REMY,campo-132
50241,CATERPILLAR CORTO,24 Volts,4 Campos,DELCO REMY,default-card
50242,CATERPILLAR,24 Volts,4 Campos,DELCO REMY CHINO,default-card
50243,CANTERPILLAR CON TORNILLO,24 Volts,4 Campos,DELCO REMY,default-card
50244,CATERPILLAR,12 volts,4 Campos,DELCO REMY,default-card
50245,MOTOCOMPRESOR. tres campos de planchuela y un auxiliar,12 Volts,4 Campos,DELCO REMY,default-card
50246,CARTERPILLAR,24 Volts,4 Campos,DELCO REMY,default-card
50250,CITROEN AMI 8 (6202 C) COL. FRONTAL. Con escobillas,12 Volts,4 Campos,DUCELLIER,campo-133
50260,CITROEN AMI 8 (6202) COL. COMUN. Con escobillas,12 Volts,4 Campos,DUCELLIER,campo-134
50270,CITROEN PALLAS SALIDA ABAJO,12 Volts,4 Campos,DUCELLIER,campo-135
50280,CITROEN PALLAS CX,12 Volts,4 Campos,DUCELLIER,campo-136
50290,CITROEN PALLAS,12 Volts,4 Campos,DUCELLIER,campo-137
50300,PEUGEOT 403-404 (CON EQUIPO ELECTRO-MECANICA CORTO),12 Volts,4 Campos,DUCELLIER-ELECTRO,campo-138
50310,PEUGEOT GASOLERO IMPORTADO (REFORZADO) Código 6109,12 Volts,4 Campos,DUCELLIER,campo-139
50320,PEUGEOT 604 (6237C),12 Volts,4 Campos,DUCELLIER,campo-140
50330,CITROEN FEMSA MOC. 12X - 5KW (CON ESCOBILLAS),12 Volts,4 Campos,FEMSA,campo-141
50331,LANROBER,12 volts,4 Campos,FEMSA,default-card
50340,CITROEN DIANE - CITROEN GS SPECIAL,12 Volts,4 Campos,FEMSACO-FEMSA,campo-142
50350,FIAT 600-1100 - PEUGEOT CHICO y RENAULT 12 - GIRO IZQUIERDO SIN SOLENOIDE,12 Volts,4 Campos,FIAT-FEMSACO,campo-143
50355,FIAT 642 160 N2,24 Volts,2 Campos,MARELLI,default-card
50356,FIAT 619 N,24 Volts,2 Campos,MARELLI,default-card
50360,FIAT 600-750-1100 GIRO DERECHO (CON SOLENOIDE),12 Volts,4 Campos,FIAT O GAREF,campo-144
50370,FIAT 600-1100 - GIRO DERECHO (SIN SOLENOIDE),12 Volts,4 Campos,FIAT-GAREF,campo-145
50380,FIAT 600-1100 - GIRO DERECHO (CON SOLENOIDE),12 Volts,4 Campos,FIAT-GAREF,campo-146
50390,FIAT 1500 COCHE O RURAL (2 PLINCIPALES Y 2 AUXILAIARES),12 Volts,4 Campos,FIAT O GAREF,campo-147
50395,LEVANTA RAMPA (DOS AUXILIARES),12 Volts,4 Campos,NIPPONDENSO,default-card
50396,A.M.J. 5705 BOMBA HIDRAULICA (2 PRINCIPALAS Y 2 AUXILIARES),12 Volts,4 Campos,ISKRA,default-card
50400,FIAT TRACTOR 411 E 115 PRINCIPAL,24 Volts,2 Campos,FIAT,campo-148
50410,FIAT TRACTOR U25 E115,12 Volts,4 Campos,FIAT,campo-149
50420,FORD FALCON (IMPORTADO)4 CAMPOS DE PLANCHUELA Y 1 AUXILIAR INTERNO,12 Volts,4 Campos,FOMOCO,campo-150
50430,FORD MUSTANG IMPORTADO 4 CAMPOS DE PLANCHUELA Y 1 AUXILIAR INTERNO,12 Volts,4 Campos,FOMOCO,campo-151
50440,FORD 350 PICK UP RANGER IMPORTADO 4 CAMPOS DE PLANCHUELA Y 1 AUXILIAR INTERNO,12 Volts,4 Campos,FOMOCO,campo-152
50450,FORD RANGER 150(IMPORTADO) 4 CAMPOS DE PLANCHUELA Y 1 AUXILIAR INTERNO,12 Volts,4 Campos,FOMOCO,campo-153
50460,FORD THAMES,12 Volts,4 Campos,FOMOCO,campo-154
50470,FORD V8 (REFORZADO),6 Volts,4 Campos,FORD,campo-155
50480,FORD GALAXY CON ESCOBILLAS,12 Volts,4 Campos,FORD,campo-156
50490,CHEVROLET (COCHE O CAMION) - OPEL K180,12 Volts,4 Campos,GAREF,campo-157
50500,FIAT 128 - PEUGEOT 404-504-505 - REGATTA 2000 - DUNA DIESEL. Con escobillas pasacables y salida.,12 Volts,4 Campos,GAREF,campo-158
50520,FIAT 128 - PEUGEOT 404-504-505 - REGATTA 2000 - DUNA DIESEL. REFORZADO para GNC. Con escobillas.,12 Volts,4 Campos,GAREF,campo-159
50530,FIAT 125-1500-1600,12 Volts,4 Campos,GAREF,campo-160
50540,FIAT 125 - 1500 - 1600 - LADA (2 PRINCIPALES Y 2 AUXILIARTES CORTOS),12 Volts,4 Campos,MARELLI O GAREF,campo-161
50550,IES SUPER AMERICA,12 Volts,2 Campos,GAREF,campo-162
50560,HITACHI S25 - 125A - 23300 - DODGE RAM,24 Volts,4 Campos,HITACHI,campo-163
50570,MITSUBISHI GD 15 Modelo 91 DIESEL CON REDUCTOR,12 Volts,4 Campos,HITACHI,campo-164
50580,MITSUBISHI GD 15 Modelo 91 DIESEL CON REDUCTOR,24 Volts,4 Campos,HITACHI,campo-165
50590,NISSAN,12 Volts,4 Campos,HITACHI,campo-166
50600,NISSAN GENERADOR DE GRUPO ELECTROGENO ESTACIONARIO,12 Volts,4 Campos,HITACHI,campo-167
50610,TOYOTA - ISUZU PICK UP NAFTERA,12 Volts,4 Campos,HITACHI,campo-168
50620,IVER FRIO - ARRANQUE HITACHI,12 Volts,4 Campos,TERMOKING,default-card
50621,IVER FRIO - ARRANQUE HITACHI (una vuelta menos),12 Volts,4 Campos,TERMOKING,default-card
50630,BEDFORD C.A. 45C y 45D PICK UP - CAMION DIESEL 350 C.A. 45D - FIAT 650-10 TRACTOR C.A. 45 REFORZADO,12 Volts,4 Campos,INDIEL,campo-169
50631,BEDFORD C.A. 45C y 45D PICK UP - CAMION DIESEL 350 C.A. 45D - FIAT 650-10 TRACTOR C.A. 45 REFORZADO (GIRO IZQUIERDO),12 Volts,4 Campos,INDIEL,default-card
50640,CITROEN 3 CV (35255816),12 Volts,4 Campos,INDIEL,campo-170
50650,CITROEN AMI 8 - IES SUPER AMERICA Código  35256033,12 Volts,4 Campos,INDIEL,campo-171
50660,CHEVROLET 400 Y PICK UP - FORD FALCON - TORINO- VALIANT I - II - III - PEUGEOT DIESEL REFORZADO,12 Volts,4 Campos,INDIEL,campo-172
50670,CHEVROLET 400 Y PICK UP - FORD FALCON - TORINO- VALIANT I - II - III - PEUGEOT REFORZADO PARA GNC,12 Volts,4 Campos,INDIEL,campo-173
50680,CHEVROLET FRONTALCON ESCOBILLAS,12 Volts,4 Campos,INDIEL,campo-174
50690,DI TELLA COCHE O PICK UP (REFORZADO),12 Volts,4 Campos,INDIEL,campo-175
50700,DODGE 1500 - PEUGEOT 404-405 - Código 32255979,12 Volts,4 Campos,INDIEL,campo-176
50710,FIAT 125 FRONTAL (CON ESCOBILLAS),12 Volts,4 Campos,INDIEL,default-card
50720,FIAT 128 - RENAULT 12-6-4 - PEUGEOT 2000 PASCABLE - SALIDA COMPLETA,12 Volts,4 Campos,INDIEL,campo-178
50730,FIAT 128 - RENAULT 12-6-4 - PEUGEOT 2000 PASCABLE - SALIDA COMPLETA REFORZADO PARA GNC,12 Volts,4 Campos,INDIEL,campo-179
50740,FORD SIERRA FRONTAL - RENAULT 11-18 - FIAT DUNA - SPAZIO - UNO - FORD ESCORT para GNC CON ESCOBILLAS,12 Volts,4 Campos,INDIEL,campo-180
50750,FORD SIERRA FRONTAL - RENAULT 11-18 - FIAT DUNA - SPAZIO - UNO - FORD ESCORT para GNC CON ESCOBILLAS,12 Volts,4 Campos,INDIEL,campo-181
50760,FIAT 900 PERKINS Eq. AN115 LARGO 6-354 C. P3 - MAGIRUZ DEUTZ CON ARANDELAS Y AISLACION             SUAVE,24 Volts,4 Campos,InDIEL,campo-192
50760,FIAT 900 PERKINS Eq. AN115 LARGO 6-354 C.P3 - MAGIRUZ DEUTZ CON ARANDELAS Y AISLACION,24 Volts,4 Campos,INDIEL,campo-192
50760,FIAT 900 PERKINS Eq. AN115 LARGO 6-354 C. P3 - MAGIRUZ DEUTZ CON ARANDELAS Y AISLACION         ABIERTO,24 Volts,4 Campos,INDIEL,campo-192
50767,FIAT 900 PERKINS Eq. AN115 LARGO 6-354 C. P3 - MAGIRUZ DEUTZ CON ARANDELAS Y AISLACION,24 Volts,4 Campos,INDIEL,default-card
50770,FIAT 1500 Modelo 68 - PEUGEOT 404 Modelo 67 - RENAULT GORDINI,12 Volts,4 Campos,INDIEL,campo-193
50780,FORD F-100 ; F-350 ; F-600 ; F-900 (2 CAMPOS DE PLANCHUELA Y 1 AUXILIAR),12 Volts,3 Campos,INDIEL,campo-194
50790,FORD TAUNUS FRONTAL CON ESCOBILLAS,12 Volts,4 Campos,INDIEL,campo-195
50800,FORD TAUNUS FRONTAL REFORMADO PARA GNC,12 Volts,4 Campos,INDIEL,campo-196
50810,FORD SIEERA 2.3 CON ESCOBILLAS (Código 35257790 M. 93) - FORD ESCORT GUARUYA,12 Volts,4 Campos,INDIEL,campo-197
50830,IKA - ESTANCIERA - JEEP VAQUEANO - UTILITARIO (REFORZADO),6 Volts,2 Campos,INDIEL,campo-198
50840,IKA - BERGANTIN - CHEVROLET NAFTERO - DODGE FARGO- PICK UP - TORINO JEEP IKA - GLADIATOR V y XX,12 Volts,3 Campos,INDIEL,campo-199
50870,PERKINS 6-305 REFORZADO . CON ARANDELAS Y AISLACION,12 Volts,4 Campos,INDIEL,campo-200
50880,PERKINS - MERCEDES BENZ - JOHN DEERE Eq. AN 115 LARGO (REFORZADO) CON ARANDELAS Y AISLACION,12 Volts,4 Campos,INDIEL,campo-201
50890,PERKINS 4-203 Y 3-152 FIAT - JOHN DEERE Y M. FERGUSON CON Eq. AN 115 CORTO (REFORZADO) CON ARANDELAS Y AISLACION,12 Volts,4 Campos,INDIEL,campo-202
50895,AN 115 CORTO (TIPO AN LARGO),12 Volts,4 Campos,INDIEL,default-card
50900,PERKINS CORTO TRACTOR 35256760 CON ARANDELAS Y AISLACION,24 Volts,4 Campos,INDIEL,campo-203
50910,"AN 115 CORTO Modelo 94 CON ESCOBILLAS, AISLACION Y ARANDELAS",12 Volts,4 Campos,INDIEL,campo-204
50920,PERKINS TRACTOR Eq.AN 115 CORTO CON ARANDELAS Y AISLACION,12 Volts,4 Campos,INDIEL,campo-205
50930,PEUGEOT 403*404 Modelo 67 - FIAT 1500 Modelo 68 CHICO,12 Volts,4 Campos,INDIEL,campo-206
50940,RASTROJERO BORGWARD - JHON DEERE 445,12 Volts,4 Campos,INDIEL,campo-207
50950,RASTROJERO DIESEL - PEUGEOT GASOLERO - PICK UP Y FRONTALITO,12 Volts,4 Campos,INDIEL,campo-208
50960,RANAULT DAUPHINE - GORDINI - 4L (REFORZADO),6 Volts,4 Campos,INDIEL,campo-209
50970,RANAULT GORDINI - DAUPHIN - 4L REFORMA A 12V,12 Volts,4 Campos,INDIEL,campo-210
50975,TORINO FRONTAL (CON ESCOBILLAS),12 Volts,4 Campos,INDIEL,default-card
50980,PERKINS MERCEDES BENZ AN 115 LARGO motor MWM BRASILERO Código 352583 M115 CON ESCOBILLAS,12 Volts,4 Campos,INDIEL-WAPSA,campo-211
50990,DUCATTO DIESEL CAMION TATA 608 - 608 MERCEDES BENZ M180 motor MAXION M93,12 Volts,4 Campos,PRESTOLITE-INDIEL,campo-212
51000,CUMMINS ISB 02 - BLUEBIRD INTERNACIONAL - DODGE US,12 Volts,4 Campos,PRESTOLITE-INDIEL,campo-213
51010,VOLKSWAGEN CUMMINS - MERCEDES BENZ OMNIBUS,24 Volts,4 Campos,PRESTOLITE-INDIEL,campo-214
51020,CUMMINS CON ARRANQUE M 100 R Código INDIEL 35260927,24 Volts,4 Campos,PRESTOLITE-INDIEL,campo-215
51030,MWMW BRASIL ARRANQUE M100R CÓDIGO INDIEL 35261085,24 Volts,4 Campos,PRESTOLITE-INDIEL,campo-216
51040,FIAT AGRI 7076,12 Volts,4 Campos,ISKRA,campo-217
51041,TRACTOR NEW HOLLAND,12 Volts,4 Campos,ISKRA CHECOSLOVACO,default-card
51050,ISKRA - LADA 2107 - LAIKA3 CAMPOS DE PLANCHUELA Y 1 AUXILIAR CORTO,12 Volts,4 Campos,RUSO-ISKRA,campo-218
51051,LADA RUSO-LAIKA 3 CAMPOS DE PLANCHUELA Y 1 AUXILIAR LARGO.giro izquierdo,12 Volts,4 Campos,RUSO-ISKRA,default-card
51060,LAIKA 3 CAMPOS DE PLANCHUELA Y 1 AUXILIAR LARGO,12 Volts,4 Campos,RUSO-ISKRA,campo-219
51070,TATA CAMION INDIO,12 Volts,4 Campos,ISKRA-INDIO,campo-220
51070,LEVANTARAMPA 2 PRINCIPALES Y 2 AUXILIARES,12 Volts,4 Campos,ISKRA,default-card
51072,ISKRA MOTOR ELECTRONICO (con escobillas),24 Volts,4 Campos,ISKRA,default-card
51080,BOMBA PETROLERA CON MOTOR TURBO KAWASAKI CON AUXILIARES INTERNOS,42 Volts,6 Campos,KAWASAKI,default-card
51100,LUCAS M 50,12 Volts,4 Campos,LUCAS,campo-222
51110,LUCAS M 50 CON ESCOBILLAS,12 Volts,4 Campos,LUCAS,campo-223
51120,MAHINDRA - JEEP N 26925165 A-7-94-25M-114,12 Volts,4 Campos,LUCAS-TUS-INDIO,default-card
51125,LUCAS TRACTOR,12 Volts,4 Campos,LUCAS,default-card
51130,PERKINS 3 M 127 CON ESCOBILLAS,24 Volts,4 Campos,LUCAS,campo-225
51135,TATA CAMION INDIO,12 Volts,4 Campos,LUCAS-INDIO,default-card
51136,TATA CAMION INDIO (GIRO IZQUIERDO),12 Volts,4 Campos,LUCAS-INDIO,default-card
51140,FIAT TIPO - DUNA - DUCATTO - TEMPRA - NAFTERO,12 Volts,4 Campos,MARELLI,campo-226
51150,FIAT DUCATTO CON ESCOBILLAS Y REDUCCIÓN,12 Volts,4 Campos,MARELLI,campo-227
51160,FIAT PALIO - SIENA - PEUGEOT BOXER,12 Volts,4 Campos,MARELLI-VALEO,campo-228
51160,FIAT PALIO - SIENA - PEUGEOT BOXER (CON PLAQUETA),12 Volts,4 Campos,MARELLI-VALEO,campo-228
51161,ARRANQUE MARELLI PALIO GASOLERO SIENA1.3 MP1,12 Volts,4 Campos,NIPPONDENSO,default-card
51165,MARELLI FIAT PALIO-SIENA 1.3 M.P.I.,12 Volts,4 Campos,BOSCH,default-card
51170,FIAT PALIO - SIENA 16 VALVULAS CON MOTOR LANCIA NAFTERO,12 Volts,4 Campos,MARELLI,campo-229
51180,FIAT PALIO - SIENA - DUNA 1.3 CON ESCOBILLAS,12 Volts,4 Campos,MARELLI,campo-230
51190,FIAT REGATTA 2000 CON ESCOBILLAS,12 Volts,4 Campos,MARELLI,campo-231
51195,TRACTOR FIAT 780 PRINCIPAL,24 Volts,2 Campos,MARELLI,default-card
51200,FIAT 643 PRINCIPAL,24 Volts,4 Campos,MARELLI,default-card
51201,ALFA ROMEO GIULIETTA TI 1300 MODELO 1961,12 Volts,4 Campos,MARELLI,default-card
51202,FIAT IVECO,24 Volts,4 Campos,MITSUBISHI,default-card
51205,RENAULT 12 URUGAUY,12 Volts,4 Campos,MARELLI-URUGUAY,campo-233
51210,AUTOELEVADOR NISSAN (GIRO DERECHO),12 Volts,4 Campos,MITSUBISHI,campo-234
51220,AUTOELEVADOR NISSAN (GIRO IZQUIERDO),12 Volts,4 Campos,MITSUBISHI,campo-235
51230,GENERADOR ONAN-PRAT 191-1949-04,12 Volts,4 Campos,MITSUBISHI,campo-236
51230,MOTOR ONAN MOTO SOLDADORA P216GIRO IZQUIRDO,12 Volts,4 Campos,MITSUBISHI,default-card
51231,HITACHI S25-125A-23300-DODGE RAM,12 Volts,4 Campos,MITSUBISHI,default-card
51232,PEUGEOT 206-306-307.,12 volts,4 Campos,MITSUBISHI,default-card
51235,COMAXU,24 Volts,4 Campos,NIPPONDENSO,default-card
51240,BORGWARD TURBO 2.5 CÓDIGO 41100000,12 Volts,4 Campos,NASHVILLE,campo-237
51250,BORGWARD 2.5 REFORMA,24 Volts,4 Campos,NASHVILLE,campo-238
51260,DEUTZ 4 PS MOTOR PERKINS (411001100),12 Volts,4 Campos,NASHVILLE,campo-239
51270,DEUTZ 913 4 HP - FIAT TURBO 4 PS,24 Volts,4 Campos,NASHVILLE,campo-240
51275,FIAT 150 4 HP 480000004,24 Volts,4 Campos,NASHVILLE,campo-241
51277,RETRO ESCARVADORA MOT. KATMATHSU  MOTOR Nº SA.6.D-125E,24 Volts,4 Campos,NICO,default-card
51280,NISSAN CAMION 3 CAMPOS DE PLANCHUELA Y 1 AUXILIAR,12 Volts,4 Campos,NISSAN,campo-242
51290,NISSAN CORTO,12/24 Volts,4 Campos,NISSAN,campo-243
51290,NISSAN CORTO GIRO IZQUIERDO,12/24 Volts,4 Campos,NISSAN,default-card
51300,NISSAN MONTACARGAS CLARK,12 Volts,4 Campos,NISSAN,campo-244
51310,CHEVETTE MONZA DIESEL,12 Volts,4 Campos,NIPPONDENSO,campo-245
51311,CHEVETTE MONZA DIESEL,12 Volts,4 Campos,NIPPONDENSO,default-card
51320,CHEVROLET LUV - PICK UP - NISSAN - TOYOTA - DINA - CHEVETTE,12 Volts,4 Campos,NIPPONDENSO,campo-246
51321,CUMMINS GRUPO ELECTROGENO,24 Volts,4 Campos,NIPPONDENSO,default-card
51330,DAIHATSU (28000-37503) - DATSUN 1600 - HONDA ACTI CON ESCOBILLAS,12 Volts,4 Campos,NIPPONDENSO,campo-247
51340,DAIHATSU DELTA CAMION TOYOTA CON MOTOR B 1,24 Volts,4 Campos,NIPPONDENSO,campo-248
51350,DAIHATSU CAMION DIESEL 2 PRINCIPALES Y 2 AUXILIARES,12 Volts,4 Campos,NIPPONDENSO,campo-249
51360,DATSUN 120 A CON ESCOBILLAS,12 Volts,4 Campos,NIPPONDENSO,default-card
51365,DATSUN MONTACARGAS NAFTERO,12 Volts,4 Campos,NIPPONDENSO,default-card
51370,DATSUN O MAZDA GRANDE,12 Volts,4 Campos,NIPPONDENSO,campo-251
51380,DAIHATSU GIRO DERECHO (2 PRICIPALES Y 2 AUXILIARES),12 Volts,4 Campos,NIPPONDENSO,campo-252
51390,HONDA ACCORD CON 2 ESCOBILLAS,12 Volts,4 Campos,NIPPONDENSO,default-card
51400,HONDA ACTI COD. (028000-54670) - MAZDA COD. 2800-87503 CON ESCOBILLAS,12 Volts,4 Campos,NIPPONDENSO,campo-254
51410,ISUZU DIESEL 1.8,12 Volts,4 Campos,NIPPONDENSO,campo-255
51420,ISUZU 3.1 Y CHEVROLET LUV GIRO IZQUIERDO,12 Volts,4 Campos,NIPPONDENSO,campo-256
51421,CHEVROLET COM CAMIONETA/CAMION MOTOR IZUZU EZR,24 Volts,4 Campos,NIPPONDENSO,default-card
51430,JOHN DEERE CON REDUCCIÓN,24 Volts,4 Campos,NIPPONDENSO,campo-257
51435,JOHN DEERE CON REDUCCIÓN,12 Volts,4 Campos,NIPPONDENSO,default-card
51440,AUTOELEVADOR CLARK motor MITSUBISHI 2000,12 Volts,4 Campos,NIPPONDENSO,campo-258
51441,AUTOELEVADOR ELECTRONICO,24 Volts,4 Campos,NIPPONDENSO,default-card
51450,MAZDA 3000 - MITSUBISHI - SAPPORO SUPERA - TURING 2000 CON ESCOBILAS,12 Volts,4 Campos,NIPPONDENSO,campo-259
51460,MAZDA CON REDUCCIÓN (SALIDA AL CENTRO),12 Volts,4 Campos,NIPPONDENSO,campo-260
51461,MAZDA RX7,12 volts,4 Campos,NIPPONDENSO,default-card
51465,MAZDA ISUZU AUTO ELEVADOR,12 Volts,4 Campos,NIPPONDENSO,default-card
51470,MITSUBISHI COLT O FORD LAZER CON ESCOBILLAS.,12 Volts,4 Campos,NIPPONDENSO,campo-261
51471,MITSUBISHI COLT O FORD LAZER CON ESCOBILLAS.giro izquierdo,12 volts,4 Campos,NIPPONDENSO,default-card
51475,MITSUBISHI COLT O FORD LAZER LARGO CON ESCOBILLAS,12 Volts,4 Campos,NIPPONDENSO,default-card
51480,MITSUBISHI COLT L-100 L-200 L-300 - MAZDA - KOMBI 1600 (CON ESCOBILLAS),12 Volts,4 Campos,NIPPONDENSO,campo-262
51481,"MITSUBISHI COLT L-200, L-300 - MAZDA - KOMBI 1600 CON ESCOBILLAS GIRO IZQUIERDO",12 Volts,4 Campos,NIPPONDENSO,default-card
51490,MITSUBISHI CANTER CAMION - MITSUBISHI - LANZER MONTACARGAS,24 Volts,4 Campos,NIPPONDENSO,campo-263
51500,MITSUBHISHI CAMION,12 volts,4 Campos,NIPPONDENSO,campo-264
51510,MITSUBHISHI AUTO ELEVADOR  MONTACARGAS,12 volts,4 Campos,NIPPONDENSO,campo-265
51515,MITSUBISHI MONTACARGAS,12 volts,4 Campos,MITSUBISHI,default-card
51520,MITSUBISHI COCHE y CAMION,12 volts,4 Campos,NIPPONDENSO,campo-266
51525,MITSUBISHI MONTACARGAS,12 volts,4 Campos,NIPPONDENSO,default-card
51530,MITSUBISHI MONTACARGAS - TOYOTA CON ESCOBILLAS,12 volts,4 Campos,NIPPONDENSO,campo-267
